iter	F1	Logloss
0	0.7013610851	0.6732715876
1	0.715730228	0.658235198
2	0.7233711966	0.6452797265
3	0.7267816643	0.6332865321
4	0.7296244701	0.6242326191
5	0.7333577511	0.6157799561
6	0.7345927942	0.6087362845
7	0.7341694708	0.602955341
8	0.7323943011	0.5983607238
9	0.7326099462	0.5930395365
10	0.7353857978	0.5890413352
11	0.7347032273	0.5858905163
12	0.7345211566	0.5832256832
13	0.7368392493	0.579248542
14	0.7357404413	0.5758393819
15	0.7351442207	0.5730084554
16	0.7348553389	0.5706720045
17	0.7365396724	0.5662020024
18	0.7387718378	0.5611455453
19	0.7378194307	0.5591928357
20	0.7387742424	0.5578873457
21	0.7411588298	0.5539883576
22	0.7401860433	0.5522611983
23	0.7415397323	0.5510035027
24	0.742506239	0.5472034804
25	0.7449788281	0.5453746409
26	0.7459202902	0.5425399888
27	0.7480043821	0.5395153676
28	0.7509845089	0.5366794213
29	0.7542244814	0.5308066589
30	0.7557290142	0.5299508939
31	0.7573665192	0.528228798
32	0.7582863906	0.5261383841
33	0.7585691698	0.5252720217
34	0.7586911915	0.5241099133
35	0.7608463975	0.5228622391
36	0.761706882	0.521969036
37	0.7616149967	0.5211238969
38	0.7620150749	0.5204009704
39	0.7619804818	0.5195307137
40	0.7624170692	0.5184985238
41	0.7621648705	0.5177233124
42	0.7624624787	0.5171012864
43	0.7622240053	0.5163239633
44	0.7632981307	0.5151169824
45	0.7633632865	0.5141477803
46	0.763472114	0.5132375477
47	0.7642616149	0.5123623212
48	0.7660858585	0.5111052939
49	0.7654691221	0.5103834806
50	0.7658816618	0.5097115493
51	0.7675064916	0.5077958002
52	0.7695316018	0.505898939
53	0.7711229589	0.5033342998
54	0.772290494	0.5028609036
55	0.772498193	0.5017724303
56	0.7727314392	0.5012450751
57	0.7726816701	0.5009485961
58	0.7732684231	0.5000551225
59	0.7745041292	0.4991241281
60	0.7760081664	0.4980135025
61	0.77629101	0.4972461886
62	0.7765083899	0.4969298026
63	0.7775790279	0.4957515558
64	0.7775006109	0.4951675362
65	0.7787504297	0.4940062995
66	0.7788879839	0.49363152
67	0.7784415517	0.4934117442
68	0.778437829	0.4928137222
69	0.7790654745	0.4924542533
70	0.7798362185	0.4909366959
71	0.7796853359	0.4904577939
72	0.7804270684	0.4901186497
73	0.7807842209	0.4896466297
74	0.7811745496	0.4886210477
75	0.7814297166	0.4882062444
76	0.7815837827	0.4877194053
77	0.7828106824	0.485473833
78	0.7828557679	0.4851256988
79	0.7830899274	0.4847079499
80	0.7836431078	0.4839859484
81	0.7835335298	0.4835380358
82	0.7840253098	0.483103471
83	0.7845179812	0.4826809745
84	0.7849624435	0.4820588807
85	0.785279741	0.4816470939
86	0.7870063122	0.4802493727
87	0.787185766	0.4797927321
88	0.7870178505	0.4793748909
89	0.7873895884	0.4788873334
90	0.7878243513	0.478427487
91	0.7879387148	0.4774825284
92	0.7881817682	0.4773328023
93	0.788305566	0.4756084707
94	0.7888059814	0.4753729034
95	0.7890704833	0.4749125892
96	0.7886916492	0.4747860036
97	0.7890964675	0.4739551735
98	0.7891834095	0.4735892761
99	0.7897038736	0.4721884949
100	0.7899596351	0.471804094
101	0.7907241207	0.4711444814
102	0.7910637243	0.4708529712
103	0.7911361502	0.4703692375
104	0.7917044277	0.4699809642
105	0.7914941668	0.4696703321
106	0.791434638	0.469558191
107	0.7920306237	0.469047982
108	0.792274547	0.4686720963
109	0.7930234395	0.4675507427
110	0.7931131774	0.4670734267
111	0.7938212674	0.4664212452
112	0.793764994	0.4661550803
113	0.7940603365	0.4657806247
114	0.7950220958	0.4654734673
115	0.7946143805	0.4651337346
116	0.7947298655	0.4648328751
117	0.7948128636	0.4645925275
118	0.7951258076	0.4643090796
119	0.7947614124	0.4639607125
120	0.7952784414	0.4636572417
121	0.7955093507	0.4633366191
122	0.7962670279	0.4622318014
123	0.7964451936	0.4621224594
124	0.7965909119	0.4618936274
125	0.7971395283	0.4607660919
126	0.7971765202	0.4603840023
127	0.7972405143	0.4600731245
128	0.797282516	0.459343568
129	0.7980112401	0.4586599795
130	0.7993518227	0.4582204811
131	0.7993307183	0.4579508286
132	0.7995702097	0.4576408205
133	0.8003757397	0.4564488651
134	0.8005550087	0.4559069576
135	0.800646329	0.455681243
136	0.8009900891	0.4549108887
137	0.8011614085	0.4545810694
138	0.8013439247	0.4541037153
139	0.802267714	0.453448367
140	0.8018253832	0.4526209126
141	0.8024708367	0.4522079192
142	0.8016998765	0.4517669719
143	0.8021839458	0.4512641123
144	0.8022389697	0.4509298722
145	0.8022990148	0.450638165
146	0.8025877313	0.4503183217
147	0.8028217546	0.4498218817
148	0.8027299032	0.4495189252
149	0.8030890354	0.4491758002
