iter	Passed	Remaining
0	132	39550
1	210	31304
2	285	28267
3	379	28071
4	467	27603
5	527	25845
6	590	24704
7	653	23861
8	729	23580
9	790	22920
10	856	22494
11	920	22098
12	991	21879
13	1055	21562
14	1120	21296
15	1186	21060
16	1259	20973
17	1323	20731
18	1404	20767
19	1506	21097
20	1721	22868
21	1838	23229
22	1918	23101
23	1989	22882
24	2085	22938
25	2161	22779
26	2237	22628
27	2325	22591
28	2408	22511
29	2484	22363
30	2581	22399
31	2669	22357
32	2739	22167
33	2821	22077
34	2907	22014
35	2970	21785
36	3040	21611
37	3126	21553
38	3220	21550
39	3285	21356
40	3355	21198
41	3418	21001
42	3482	20811
43	3547	20637
44	3610	20458
45	3674	20291
46	3738	20122
47	3799	19949
48	3873	19842
49	3937	19688
50	3996	19514
51	4055	19340
52	4115	19180
53	4180	19046
54	4244	18909
55	4308	18774
56	4371	18637
57	4430	18484
58	4489	18339
59	4551	18205
60	4610	18062
61	4669	17924
62	4731	17801
63	4802	17710
64	4855	17555
65	4916	17431
66	4973	17294
67	5028	17157
68	5088	17034
69	5144	16902
70	5219	16836
71	5298	16779
72	5364	16680
73	5424	16567
74	5495	16487
75	5567	16409
76	5654	16375
77	5727	16301
78	5791	16201
79	5857	16107
80	5929	16031
81	5994	15937
82	6070	15869
83	6136	15778
84	6204	15694
85	6268	15598
86	6336	15513
87	6405	15431
88	6480	15364
89	6544	15271
90	6605	15170
91	6664	15067
92	6724	14968
93	6798	14899
94	6882	14851
95	6969	14811
96	7048	14750
97	7130	14698
98	7213	14645
99	7297	14595
100	7376	14534
101	7454	14470
102	7533	14409
103	7615	14352
104	7696	14293
105	7769	14220
106	7835	14133
107	7903	14050
108	7985	13993
109	8056	13916
110	8118	13823
111	8183	13736
112	8256	13663
113	8325	13583
114	8388	13493
115	8452	13407
116	8518	13323
117	8581	13235
118	8660	13172
119	8873	13310
120	8956	13249
121	9031	13177
122	9114	13116
123	9190	13045
124	9303	13024
125	9401	12982
126	9514	12960
127	9638	12951
128	9780	12964
129	9897	12943
130	10026	12935
131	10152	12921
132	10267	12892
133	10382	12862
134	10500	12833
135	10605	12789
136	10722	12757
137	10844	12730
138	10970	12706
139	11070	12651
140	11191	12619
141	11296	12568
142	11395	12511
143	11512	12471
144	11609	12409
145	11713	12355
146	11802	12284
147	11904	12226
148	12021	12183
149	12112	12112
150	12195	12033
151	12293	11970
152	12388	11902
153	12487	11838
154	12571	11760
155	12647	11674
156	12720	11586
157	12799	11503
158	12878	11420
159	12960	11340
160	13035	11254
161	13114	11171
162	13200	11095
163	13274	11008
164	13350	10922
165	13426	10838
166	13517	10765
167	13605	10689
168	13680	10604
169	13756	10519
170	13842	10442
171	13914	10354
172	13995	10274
173	14081	10197
174	14161	10115
175	14241	10033
176	14319	9950
177	14394	9866
178	14471	9782
179	14554	9702
180	14632	9619
181	14711	9538
182	14786	9453
183	14867	9373
184	14941	9288
185	15023	9208
186	15107	9128
187	15184	9046
188	15265	8965
189	15344	8883
190	15435	8808
191	15517	8728
192	15598	8647
193	15674	8564
194	15749	8480
195	15824	8396
196	15914	8320
197	16002	8243
198	16352	8299
199	16502	8251
200	16624	8187
201	16704	8104
202	16780	8018
203	16863	7935
204	16951	7855
205	17029	7770
206	17114	7689
207	17221	7616
208	17332	7546
209	17417	7464
210	17496	7379
211	17578	7296
212	17654	7210
213	17734	7127
214	17803	7038
215	17892	6958
216	17984	6878
217	18066	6795
218	18151	6713
219	18226	6627
220	18308	6544
221	18383	6458
222	18467	6376
223	18544	6291
224	18623	6207
225	18700	6123
226	18775	6037
227	18867	5958
228	18943	5873
229	19026	5790
230	19103	5706
231	19185	5623
232	19264	5539
233	19346	5456
234	19427	5373
235	19506	5289
236	19576	5203
237	19657	5120
238	19733	5036
239	19816	4954
240	19893	4870
241	19975	4787
242	20057	4704
243	20145	4623
244	20234	4542
245	20345	4465
246	20447	4387
247	20547	4308
248	20658	4231
249	20791	4158
250	20933	4086
251	21052	4010
252	21169	3932
253	21403	3876
254	21499	3794
255	21634	3718
256	21757	3640
257	21858	3558
258	21971	3478
259	22125	3403
260	22267	3327
261	22394	3247
262	22518	3167
263	22628	3085
264	22758	3005
265	22861	2922
266	22982	2840
267	23086	2756
268	23197	2673
269	23306	2589
270	23420	2506
271	23547	2423
272	23661	2340
273	23782	2256
274	23894	2172
275	24006	2087
276	24104	2001
277	24191	1914
278	24270	1826
279	24360	1740
280	24468	1654
281	24588	1569
282	24722	1485
283	24822	1398
284	24934	1312
285	25048	1226
286	25184	1140
287	25310	1054
288	25444	968
289	25578	882
290	25702	794
291	25792	706
292	25881	618
293	25988	530
294	26064	441
295	26198	354
296	26314	265
297	26427	177
298	26575	88
299	26904	0
